"Country,
Other","Total
Cases","New
Cases","Total
Deaths","New
Deaths","Total
Recovered","Active
Cases","Serious,
Critical","Tot Cases/
1M pop","Deaths/
1M pop","Total
Tests","Tests/
1M pop",Population
World,"16,245,057","+55,854","649,271","+1,697","9,943,307","5,652,479","66,251","2,084",83.3,,,
,,,,,,,,,,,,
USA,"4,315,926",+217,"149,400",+2,"2,061,692","2,104,834","18,984","13,034",451,"53,352,250","161,120","331,134,610"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Brazil,"2,396,434",,"86,496",,"1,617,480","692,458","8,318","11,269",407,"4,911,063","23,093","212,661,228"
India,"1,403,400","+17,906","32,292",+196,"898,221","472,887","8,944","1,016",23,"16,291,331","11,798","1,380,900,513"
,,,,,,,,,,,,
Russia,"812,485","+5,765","13,269",+77,"600,250","198,966","2,300","5,567",91,"26,902,291","184,339","145,938,879"
South Africa,"434,200",,"6,655",,"263,054","164,491",539,"7,315",112,"2,730,812","46,007","59,357,051"
Mexico,"385,036","+6,751","43,374",+729,"247,178","94,484","3,922","2,984",336,"911,853","7,067","129,021,774"
Peru,"379,884",,"18,030",,"263,130","98,724","1,402","11,511",546,"2,206,105","66,849","33,001,256"
Chile,"343,592",,"9,020",,"316,169","18,403","1,636","17,964",472,"1,504,844","78,676","19,127,140"
Spain,"319,501",,"28,432",,N/A,N/A,617,"6,833",608,"6,320,836","135,188","46,756,057"
UK,"298,681",,"45,738",,N/A,N/A,104,"4,398",674,"14,568,733","214,529","67,910,360"
Iran,"291,172","+2,333","15,700",+216,"253,213","22,259","3,695","3,464",187,"2,327,850","27,692","84,062,376"
Pakistan,"273,113","+1,226","5,822",+35,"237,434","29,857","1,267","1,235",26,"1,868,180","8,447","221,154,992"
Saudi Arabia,"266,941","+1,968","2,733",+30,"220,323","43,885","2,120","7,660",78,"2,946,928","84,565","34,848,130"
Italy,"245,864",,"35,102",,"198,320","12,442",41,"4,067",581,"6,520,046","107,849","60,455,471"
Colombia,"240,795",,"8,269",,"119,667","112,859","1,493","4,729",162,"1,379,043","27,083","50,918,491"
Turkey,"225,173",,"5,596",,"208,477","11,100","1,252","2,668",66,"4,532,672","53,706","84,398,593"
Bangladesh,"223,453","+2,275","2,928",+54,"123,882","96,643",1,"1,356",18,"1,111,558","6,745","164,797,647"
Germany,"206,332",,"9,202",,"190,600","6,530",237,"2,462",110,"7,418,812","88,527","83,802,499"
France,"180,528",,"30,192",,"80,815","69,521",410,"2,765",462,"2,982,302","45,682","65,283,584"
Argentina,"158,334",,"2,893",,"68,022","87,419",955,"3,501",64,"623,893","13,796","45,223,300"
Canada,"113,556",,"8,885",,"99,115","5,556","2,224","3,007",235,"3,761,927","99,616","37,764,184"
Qatar,"109,036",,164,,"105,750","3,122",98,"38,833",58,"469,000","167,034","2,807,805"
Iraq,"107,573",,"4,284",,"73,317","29,972",449,"2,671",106,"895,187","22,226","40,276,360"
Indonesia,"98,778","+1,492","4,781",+67,"56,655","37,342",,361,17,"1,381,699","5,048","273,713,592"
Egypt,"91,583",,"4,558",,"32,903","54,122",41,894,44,"135,000","1,318","102,453,147"
China,"83,830",+46,"4,634",,"78,908",288,6,58,3,"90,410,000","62,814","1,439,323,776"
Kazakhstan,"81,720","+1,494",585,,"51,823","29,312",221,"4,349",31,"1,894,815","100,835","18,791,305"
Philippines,"80,448","+2,036","1,932",+35,"26,110","52,406",351,734,18,"1,299,456","11,848","109,674,895"
Ecuador,"80,036",,"5,507",,"34,544","39,985",278,"4,532",312,"224,197","12,695","17,660,035"
Sweden,"78,997",,"5,697",,N/A,N/A,50,"7,819",564,"751,213","74,352","10,103,535"
Oman,"76,005","+1,147",384,+13,"55,299","20,322",167,"14,862",75,"296,989","58,072","5,114,175"
Bolivia,"68,281","+1,825","2,535",+62,"20,951","44,795",71,"5,844",217,"147,173","12,597","11,683,237"
Belarus,"67,002",,530,,"60,092","6,380",89,"7,091",56,"1,241,624","131,401","9,449,102"
Belgium,"65,727",+528,"9,821",+4,"17,425","38,481",45,"5,669",847,"1,514,046","130,599","11,593,089"
Ukraine,"64,849",+920,"1,605",+15,"35,807","27,437",91,"1,483",37,"937,006","21,435","43,714,427"
Kuwait,"63,309",,429,,"53,607","9,273",123,"14,811",100,"479,411","112,154","4,274,587"
Israel,"61,388",+710,464,+7,"26,959","33,965",310,"6,674",50,"1,597,269","173,662","9,197,590"
Dominican Republic,"60,896",,"1,055",,"27,980","31,861",267,"5,610",97,"235,289","21,675","10,855,084"
UAE,"58,913",+351,344,+1,"52,182","6,387",,"5,952",35,"4,828,066","487,774","9,898,162"
Panama,"58,864",,"1,275",,"33,428","24,161",158,"13,629",295,"203,600","47,140","4,319,053"
Netherlands,"52,732",,"6,139",,N/A,N/A,16,"3,077",358,"851,885","49,709","17,137,516"
Singapore,"50,369",+481,27,,"45,352","4,990",,"8,605",5,"1,170,049","199,891","5,853,425"
Portugal,"49,955",,"1,716",,"35,010","13,229",50,"4,900",168,"1,528,600","149,943","10,194,564"
Romania,"44,798","+1,120","2,187",+22,"25,643","16,968",351,"2,330",114,"1,102,901","57,358","19,228,208"
Guatemala,"44,492",,"1,699",,"31,045","11,748",5,"2,481",95,"138,850","7,741","17,936,018"
Poland,"43,065",+443,"1,671",+7,"32,753","8,641",61,"1,138",44,"2,095,222","55,365","37,843,655"
Nigeria,"39,977",,856,,"16,948","22,173",7,194,4,"259,516","1,257","206,438,279"
Bahrain,"38,747",,140,+3,"35,205","3,402",51,"22,729",82,"780,081","457,601","1,704,719"
Honduras,"38,438",+879,"1,098",+37,"4,713","32,627",51,"3,877",111,"95,574","9,640","9,914,535"
Armenia,"37,317",+321,705,+5,"26,478","10,134",10,"12,592",238,"157,152","53,027","2,963,630"
Afghanistan,"36,157",+121,"1,259",+11,"25,180","9,718",31,928,32,"86,907","2,229","38,980,632"
Switzerland,"34,412",+110,"1,977",,"30,700","1,735",20,"3,974",228,"758,836","87,637","8,658,880"
Kyrgyzstan,"32,813",+689,"1,277",+28,"20,388","11,148",24,"5,024",196,"267,718","40,992","6,530,946"
